<seg id="1">	Reinício da sessão
<seg id="25">	No entanto, peço-lhe, de acordo com a linha que agora é constantemente seguida pelo Parlamento Europeu e por toda a Comunidade Europeia, que apresente, utilizando o peso do seu prestigioso cargo e da Instituição que representa, perante o Presidente e ao Governador do Texas, Sr. Bush, que tem o poder de ordenar a suspensão da execução e de prorrogar o condenado.
<seg id="26">	Tudo isso de acordo com os princípios que sempre defendemos.
<seg id="27">	Obrigada, Senhor Deputado Segni, farei de bom grado.
<seg id="28">	Na verdade, está de acordo com as posições que esta Assembleia sempre adotou.
<seg id="29">	Senhora Presidente, gostaria de chamar a sua atenção para um caso em que este Parlamento sempre demonstrou interesse.
<seg id="30">	É o caso de Alexander Nikitin.
<seg id="31">	Todos nós aqui estamos satisfeitos que os tribunais o tenham absolvido e deixado claro que também na Rússia o acesso à informação ambiental é um direito constitucional.
<seg id="32">	Agora, porém, ele deve ir aos tribunais mais uma vez porque o promotor público está apelando.
<seg id="33">	Sabemos, e afirmamos isso em muitas decisões, inclusive especificamente durante o último período de sessões plenárias do ano passado, que este não é apenas um caso legal e que é errado que Alexander Nikitin seja acusado de atividade criminosa e traição por causa de nosso envolvimento como beneficiários de suas descobertas.
<seg id="34">	Estas constatações constituem a base dos programas europeus de protecção do Mar de Barents, e é por isso que a peço que examine o esboço de carta que expõe os fatos mais importantes e que tome a posição do Parlamento, tal como expressa nas decisões que adotou, no que diz respeito à Rússia.
<seg id="35">	Sim, Senhora Deputada Schroedter, terei o prazer de examinar os fatos deste caso quando receber a sua carta.
<seg id="36">	Senhora Presidente, em primeiro lugar, desejo felicitá-la pelo fato de ter cumprido a sua palavra e de, neste primeiro período de sessões do novo ano, o número de canais de televisão em nossos escritórios aumentou consideravelmente.
<seg id="37">	Mas, Senhora Presidente, o meu pedido pessoal não foi atendido.
<seg id="38">	Embora já existam dois canais finlandeses e um português, ainda não há nenhum canal holandês, que era o que tinha pedido porque os holandeses aqui também gostariam de poder acompanhar as notícias quando somos enviados todos os meses para este local de exílio.
<seg id="39">	A peço, portanto, mais uma vez que se assegure de que também tenhamos um canal em holandês.
<seg id="40">	Senhora Deputada Plooij-van Gorsel, posso dizer que este assunto está na ordem do dia da reunião dos Questores de quarta-feira.
<seg id="41">	Ele será, espero, examinado de uma forma positiva.
<seg id="42">	Senhora Presidente, pode me dizer porque este Parlamento não cumpre a legislação em matéria de saúde e segurança que efectivamente aprova?
<seg id="43">	Por que nenhum teste de qualidade do ar foi feito neste edifício em particular desde que fomos eleitos?
<seg id="44">	Por que não houve nenhuma reunião do Comitê de Saúde e Segurança desde 1998?
<seg id="45">	Por que não houve simulação de incêndio, nem nos edifícios do Parlamento de Bruxelas, nem nos edifícios do Parlamento de Estrasburgo?
<seg id="46">	Por que não há instruções de fogo?
<seg id="47">	Por que as escadas não foram melhoradas desde meu acidente?
<seg id="48">	Por que as áreas para não fumantes não são aplicadas?
<seg id="49">	Parece absolutamente vergonhoso que aprovemos legislação e não a cumpramos nós próprios.
<seg id="50">	Senhora Deputada Lynne, tem toda a razão e vou verificar se isso realmente não foi feito.
<seg id="51">	Vou também remeter a questão para o Colégio dos Questores, e estou certa de que eles farão o possível para garantir o cumprimento dos regulamentos que nós próprios votamos.
<seg id="52">	Senhora Presidente, a senhora deputada Díez González e eu tínhamos apresentado perguntas sobre determinadas opiniões da vice-presidente, senhora deputada de Palacio, publicadas num jornal espanhol.
<seg id="53">	Os serviços competentes não as incluiram na ordem do dia por terem sido respondidas no período de sessões anterior.
<seg id="54">	Eu pediria que eles reconsiderassem, já que não é o caso.
<seg id="55">	As perguntas respondidas anteriormente referiam-se à intervenção da Sra. De Palacio, noutra ocasião, e não a estas observações publicadas no jornal ABC em 18 de Novembro.
<seg id="56">	Senhor Deputado Berenguer Fuster, vamos verificar tudo isto.
<seg id="57">	Admito que, no momento, a questão parece um tanto confusa.
<seg id="58">	Devemos, portanto, analisá-la adequadamente para garantir que tudo está como deveria ser.
<seg id="59">	Senhora Presidente, gostaria de saber se esta semana haverá uma mensagem clara do Parlamento sobre o nosso descontentamento com a decisão de hoje de recusar a renovação do embargo de armas à Indonésia, considerando que a grande maioria deste Parlamento aprovou o embargo de armas na Indonésia no passado?
<seg id="60">	A decisão de hoje de não renovar o embargo é extremamente perigosa, considerando a situação lá.
<seg id="61">	Por isso, o Parlamento deveria enviar uma mensagem, pois é esse o desejo da grande maioria.
<seg id="62">	É irresponsável da parte dos Estados-Membros da UE recusar a renovação do embargo.
<seg id="63">	Como já foi dito, a situação lá é extremamente volátil.
<seg id="64">	Existe, de fato, o risco de um golpe militar no futuro.
<seg id="65">	Não sabemos o que está acontecendo.
<seg id="66">	Então, por que deveriam os produtores de armas da UE lucrar às custas de pessoas inocentes?
<seg id="67">	Em qualquer caso, esta questão não está atualmente incluída entre os pedidos de debate de atualidade e urgência na quinta-feira.
<seg id="68">	Agenda
<seg id="69">	Segue-se na ordem do dia a verificação da versão final do projeto de ordem do dia, elaborado pela Conferência dos Presidentes na sua reunião de 13 de Janeiro, nos termos do artigo 110º do Regimento.
<seg id="70">	Nenhuma alteração foi proposta em relação à segunda e terça-feira.
<seg id="71">	Referente a quarta-feira:
<seg id="72">	O Grupo do Partido dos Socialistas Europeus solicita a inclusão de uma declaração da Comissão sobre os seus objetivos estratégicos para os próximos cinco anos e sobre a reforma administrativa da Comissão.
<seg id="73">	Gostaria que o senhor deputado Barón Crespo, autor do pedido, usasse a palavra para o propor.
<seg id="74">	Isto é, se ele quiser, é claro.
<seg id="75">	Em seguida, seguiremos o procedimento usual, ouvindo um orador a favor e outro contra.
<seg id="76">	Senhora Presidente, a apresentação do programa político da Comissão Prodi para toda a legislatura foi inicialmente uma proposta do Grupo do Partido dos Socialistas Europeus que foi aprovada por unanimidade pela Conferência dos Presidentes em Setembro e que foi também explicitamente aceita pelo Presidente Prodi , que reiterou seu compromisso em seu discurso inaugural.
<seg id="77">	Este compromisso é importante porque a Comissão é um órgão com monopólio de iniciativa nos termos dos Tratados e, portanto, dita basicamente a actividade política e legislativa deste Parlamento nos próximos cinco anos.
<seg id="78">	Gostaria também de salientar, Senhora Presidente, que este Parlamento votou para expressar a sua confiança no Presidente Prodi durante a legislatura anterior.
<seg id="79">	O Parlamento votou novamente durante esta legislatura, em julho, e depois, em setembro, votou mais uma vez pela aprovação de toda a Comissão.
<seg id="80">	Por isso, houve tempo suficiente para a Comissão preparar o seu programa e para nós o familiarizarmos e explicá-lo aos nossos cidadãos.
<seg id="81">	Para isso, eu gostaria de lembrar da resolução de 15 de setembro, que recomendava que a proposta fosse apresentada o mais cedo possível.
<seg id="82">	Os acontecimentos da semana passada - originados fora da Conferência dos Presidentes, servindo essa Conferência simplesmente para corroborar e ratificar decisões tomadas noutros locais - nos colocam em um dilema.
<seg id="83">	Ou a Comissão não está preparada para apresentar este programa, e nesse caso, ela deve esclarecer.
<seg id="84">	Segundo a sua Presidente, ela está em condições de fazer.
<seg id="85">	Já que a Comissão é representada pela Vice-Presidente do Palacio, penso que, antes de votar, seria útil que a Comissão nos informasse da sua disponibilidade para apresentar este programa, conforme acordado.
<seg id="86">	Ou, o Parlamento não está pronto para examinar este programa, como alguns parecem sugerir.
<seg id="87">	Em minha opinião, esta segunda hipótese implicaria o fracasso do Parlamento no seu dever de Parlamento, bem como introduzir uma tese original, um método desconhecido que consiste em informar, por escrito, os grupos políticos de uma intervenção do programa da Comissão uma semana antes - e não um dia antes, como havia sido concordado - tendo em conta que o programa legislativo será discutido em fevereiro, então poderíamos dispensar o debate, uma vez que no dia seguinte os nossos cidadãos saberaõ sobre ele na imprensa e na Internet e o Parlamento não terá mais de se preocupar com isso.
<seg id="88">	O meu grupo acredita que, uma vez que um parlamento se destina a ouvir, debater e refletir, não pode haver qualquer justificação para este atraso e consideramos que, se a Comissão estiver disposta a fazê-lo, ainda temos tempo para restabelecer o acordo original entre o Parlamento e a Comissão e proceder de uma forma que cumpra o nosso dever para com os nossos cidadãos.
<seg id="89">	Portanto, a proposta do Grupo do Partido dos Socialistas Europeus, a que se referiu, é que a Comissão Prodi apresente na quarta-feira o seu programa legislativo, incluindo a sua proposta de reforma administrativa, porque, caso contrário, poderíamos encontrar-nos numa situação paradoxal: sob o pretexto de que não existe texto, por um lado, seria negado ao Presidente da Comissão o direito de usar da palavra neste Parlamento e, por outro lado, haveria um debate sobre uma reforma quando o Parlamento não tinha conhecimento dos textos em que se baseia.
<seg id="90">	Por isso, Senhora Presidente, peço-lhe que peça à Comissão que se pronuncie sobre esta questão e que procedamos à votação.
<seg id="91">	(Aplausos do Grupo PSE)
<seg id="92">	Senhora Presidente, estou realmente espantado com o comportamento do senhor deputado Barón Crespo e com o fato de agora solicitar que este ponto seja inscrito na ordem do dia de quarta-feira.
<seg id="93">	Senhor Deputado Barón Crespo, não pôde comparecer à Conferência dos Presidentes na quinta-feira passada.
<seg id="94">	Não estou criticando isso; acontece de vez em quando que as pessoas enviam alguém para representá-las.
<seg id="95">	O Sr. Hänsch o representou nesta ocasião.
<seg id="96">	Na Conferência dos Presidentes, tivemos um debate aprofundado.
<seg id="97">	Seu grupo foi o único a defender o que você está dizendo agora.
<seg id="98">	Em seguida, colocamos o item em votação.
<seg id="99">	Como sabem, cada presidente tem o mesmo número de votos que o seu grupo tem membros.
<seg id="100">	Houve uma votação sobre este assunto.
<seg id="101">	Pelo que me lembro, o resultado desta votação foi de 422 a 180 votos com algumas abstenções.
<seg id="102">	Isso significa que todos os grupos, com excepção dos deputados não inscritos - mas, evidentemente, não são um grupo - estavam de acordo; apenas o seu grupo achou que deveríamos proceder como você propôs aqui.
<seg id="103">	Todos os outros eram de opinião diferente.
<seg id="104">	Essa foi a decisão.
<seg id="105">	Gostaria agora de comentar o assunto em si.
<seg id="106">	Temos confiança na Comissão e em Romano Prodi e, após um processo difícil, como todos sabem, a grande maioria do nosso grupo apoiou o voto com confiança em Romano Prodi e na Comissão.
<seg id="107">	Acreditamos, no entanto, que o plano estratégico da Comissão deve ser debatido dentro de um quadro processual adequado, não apenas com base numa declaração oral aqui no Parlamento Europeu, mas também com base num documento que é aprovado na Comissão e que descreve este programa ao longo do período de cinco anos.
<seg id="108">	Esse documento não existe!
<seg id="109">	A Comissão apresentará o seu programa para o ano 2000 em Fevereiro.
<seg id="110">	Dissemos, muito bem, que se a Comissão não pretende introduzir o programa de 2000 já em Janeiro, o faremos em Fevereiro.
<seg id="111">	Nós concordamos com isso.
<seg id="112">	Afinal, não queremos discutir com a Comissão; se for possível, consideramos que a Comissão e o Parlamento devem seguir o mesmo caminho.
<seg id="113">	No entanto, nós, no Parlamento, também temos um papel de supervisão em relação à Comissão e não temos de concordar com tudo o que sai da Comissão.
<seg id="114">	Gostaria que pudéssemos fazer uma preparação razoável para o debate sobre o programa de cinco anos em nossos grupos.
<seg id="115">	Não se pode preparar se ouvir uma declaração nesta Assembleia e não tiver ideia do seu conteúdo.
<seg id="116">	É por isso que recomendamos - e tenho a impressão de que a Comissão também está aberta a esta ideia - que realizemos o debate sobre o programa a longo prazo da Comissão até ao ano 2005 em Fevereiro - e espero que a Comissão chegue a acordo sobre um programa antes dessa data que nos irá propor - e que, ao mesmo tempo, em Fevereiro também realizemos o debate sobre o programa legislativo da Comissão para o ano 2000.
<seg id="117">	O fato das disciplinas estarem conectadas também sugere que devemos realizar o debate sobre os dois programas juntos.
<seg id="118">	É por isso que o meu grupo rejeita firmemente a proposta do Grupo Socialista.
<seg id="119">	(Aplausos do Grupo PPE-DE)
<seg id="120">	Senhora Presidente, gostaria de deixar bem claro que, acima de tudo, a Comissão tem um respeito absoluto pelas decisões deste Parlamento e, entre elas, pela decisão que estabelece a sua ordem do dia.
<seg id="123">	Respeitamos, portanto, tudo o que o Parlamento decidir.
<seg id="121">	Mas também gostaria de deixar bem claro que o Presidente Prodi se comprometeu perante este Parlamento a lançar um novo debate, como nos recordou o senhor deputado Barón Crespo, que viria complementar o debate anual sobre o programa legislativo da Comissão, nas amplas áreas de ação para os próximos cinco anos, ou seja, para esta legislatura.
<seg id="122">	Senhora Presidente, gostaria de dizer que o acordo alcançado em Setembro distinguiu este debate da apresentação anual do programa legislativo da Comissão.
<seg id="124">	Gostaria também de dizer que a Comissão está preparada e disposta a realizar este debate sempre que for conveniente e que o estávamos dispostos a fazê-lo esta semana, tal como tínhamos acordado inicialmente, com base no pressuposto de que seria apresentado no dia anterior num discurso a grupos parlamentares.
<seg id="125">	Por isso, Senhora Presidente, gostaria de repetir que a Comissão debateu o plano de ação para os próximos cinco anos e, quando o Parlamento decidir, - esta semana se for essa a decisão - estamos preparados para vir e explicar o programa para a próxima cinco anos e, no próximo mês, o programa para 2000, que foi totalmente acordado.
<seg id="126">	Proponho que votemos o pedido do Grupo do Partido dos Socialistas Europeus de que a declaração da Comissão sobre os seus objectivos estratégicos seja reintegrada.
<seg id="127">	(O Parlamento rejeitou o pedido)
<seg id="128">	Presidente.
<seg id="129">	Ainda no que se refere à sessão de quarta-feira, tenho outra proposta relativa à pergunta oral sobre o imposto sobre capital.
<seg id="130">	O Grupo PPE-DE solicita que este ponto seja retirado da ordem do dia.
<seg id="131">	Algum membro deseja falar em nome deste grupo para o propor?
<seg id="132">	Senhora Presidente, consigo ouvir uma gargalhada dos socialistas.
<seg id="133">	Me disseram que grande parte do Grupo Socialista também gostaria que este ponto fosse retirado da ordem do dia, porque na votação na Conferência dos Presidentes não foi recebida qualquer votação do grupo de trabalho dos membros do Grupo Socialista responsável por esta questão.
<seg id="134">	Não sei se esta informação é correta, mas o Grupo PPE-DE agradeceria, em todo o caso, se este ponto fosse retirado, porque o Parlamento já se abordou esta questão várias vezes.
<seg id="135">	Também foram adotadas decisões contra esse tipo de imposto.
<seg id="136">	É por isso que o meu grupo propõe que este ponto seja retirado da ordem do dia.
<seg id="137">	Obrigada, Senhor Deputado Poettering.
<seg id="138">	Vamos agora ouvir o senhor deputado Wurtz falar contra este pedido.
<seg id="139">	Senhora Presidente, em primeiro lugar, gostaria de chamar a atenção para a falta de lógica do senhor deputado Poettering.
<seg id="140">	Ele acaba de fazer uma pregação ao Grupo do Partido dos Socialistas Europeus porque retrocedeu a uma decisão tomada de forma perfeitamente clara na Conferência dos Presidentes, e agora ele está fazendo o mesmo.
<seg id="141">	Discutimos esse assunto e fomos unânimes, com exceção dos Grupos do PPE e do ELDR.
<seg id="142">	Como os meus colegas presidentes se recordarão, cheguei a mencionar que não se tratava de saber se se era a favor ou contra o imposto Tobin, mas se ousaríamos ouvir o que a Comissão e o Conselho pensavam dele.
<seg id="143">	Não é pedir muito.
<seg id="144">	Por isso, repito a proposta de que esta pergunta oral à Comissão e ao Conselho seja mantida para que possamos conhecer, de uma vez por todas, as posições destes dois órgãos relativamente à proposta, que é relativamente modesta mas que passaria uma mensagem clara à opinião pública, principalmente depois da maré de sentimento gerada pelo fracasso da Conferência de Seattle.
<seg id="145">	Vamos proceder à votação do pedido do Grupo PPE-DE no sentido de retirar da ordem do dia a pergunta oral sobre o imposto sobre o capital.
<seg id="146">	(O Parlamento rejeita o pedido por 164 votos a favor, 166 votos contra e 7 abstenções)
<seg id="147">	Senhora Presidente, gostaria de agradecer ao senhor deputado Poettering a publicidade a este debate.
<seg id="148">	Muito obrigado.
<seg id="149">	Senhora Presidente, o meu voto foi contado?
<seg id="150">	Não pude votar eletronicamente, pois não tenho cartão.
<seg id="151">	Meu voto foi "a favor".
<seg id="152">	Na verdade, se somarmos os dois membros que se declararam, o resultado da votação seria ...
<seg id="153">	Senhora Presidente, a Presidência já declarou o resultado da votação.
<seg id="154">	Não há espaço para emendas.
<seg id="155">	Senhoras e Senhores Deputados, mais uma vez, vemos que é essencial que os deputados tragam o seu cartão de eleitor na segunda-feira.
<seg id="156">	Claramente há um problema aqui.
<seg id="157">	Sendo esse o caso, terei de tomar uma decisão.
<seg id="158">	Eu também esqueci meu cartão e teria votado contra. 
<seg id="159">	Portanto, considero que a pergunta oral pode ser mantida na ordem do dia conforme a votação.
<seg id="160">	Esta é a última vez que faremos concessões aos deputados que se esqueceram dos seus cartões.
<seg id="161">	Que isso seja claramente notado e compreendido.
<seg id="162">	(Aplausos)
<seg id="163">	A pergunta oral permanecerá, portanto, na ordem do dia e sim, a sua Presidente tem direito a votar da mesma forma que tem o direito de esquecer o seu cartão de eleitor.
<seg id="164">	Continuaremos com as demais emendas à ordem do dia.
<seg id="165">	Senhora Presidente, na votação anterior - e cumprirei a sua opinião sobre este assunto - sobre a questão do plano estratégico da Comissão, indiquei que gostaria de intervir antes da votação em nome do meu grupo.
<seg id="166">	Isso não aconteceu.
<seg id="167">	Agradeceria que, no encerramento deste ponto da reunião, me fosse permitido fazer uma declaração de voto em nome do meu grupo.
<seg id="168">	Este é um assunto importante.
<seg id="169">	Seria útil para o registo da Assembleia indicar como as pessoas vêem o que acabámos de fazer à luz da sua própria análise política.
<seg id="170">	Senhora Presidente, não desejo reabrir o debate, mas também pedi a palavra para comentar a moção do senhor deputado Barón Crespo.
<seg id="171">	Você também não me ligou.
<seg id="172">	Lamento, mas a votação já foi realizada e a decisão está tomada, por isso deixemos o assunto por aqui.
<seg id="173">	Lamento muitíssimo, Senhor Deputado Hänsch e Senhor Deputado Cox.
<seg id="174">	Não te vi pedindo para falar.
<seg id="175">	Ainda assim, creio que as posições são bastante claras e deverão constar na ata.
<seg id="176">	Quando aprovarmos a ata da sessão de hoje de amanhã, todos os deputados que considerem que as posições não foram explicadas de forma suficientemente clara podem solicitar alterações.
<seg id="177">	Esta me parece uma solução viável.
<seg id="178">	Naturalmente, a ata da sessão de amanhã terá em consideração eventuais explicações adicionais.
<seg id="179">	Penso que esta é uma solução melhor do que proceder agora a declarações de voto extremamente demoradas.
<seg id="180">	Sr. Cox, Sr. Hänsch, isso seria aceitável para você?
<seg id="181">	Senhora Presidente, se a votação registar corretamente a forma como o meu grupo votou, não irei, nem posso, levantar objeções a isso.
<seg id="182">	Se a sua decisão é que não posso dar uma declaração de voto, eu a aceito, mas com reservas.
<seg id="183">	Prestaremos particular atenção ao teor da ata, como sempre o fazemos, naturalmente.
<seg id="184">	Se não refletirem adequadamente as posições adotadas, poderemos corrigi-las, se necessário.
<seg id="185">	(A ordem do dia foi aprovada assim alterada)
<seg id="186">	Conselheiros de segurança para o transporte de mercadorias perigosas
<seg id="187">	Segue-se na ordem do dia o relatório (A5-0105 / 1999) do deputado Koch, em nome da Comissão da Política Regional, dos Transportes e do Turismo, sobre a posição comum adotada pelo Conselho tendo em vista a adoção de uma diretiva do Parlamento Europeu e do Conselho sobre a harmonização dos requisitos de exame para conselheiros de segurança para o transporte de mercadorias perigosas por estrada, ferrovias ou hidrovias (C5-0208 / 1999 - 1998/0106 (COD)).
<seg id="188">	Senhor Comissário, Senhora Presidente, Senhoras e Senhores Deputados, posso ser muito franco ao dizer que saúdo a posição comum do Conselho sobre a harmonização da formação de conselheiros de segurança para o transporte de mercadorias perigosas por estrada, ferrovias ou hidrovias.
<seg id="189">	Em primeiro lugar, foi necessário agir a nível formal para cumprir os requisitos da Directiva 96/35 / CE, que obriga os Estados-Membros a nomear conselheiros de segurança e a organizar a formação, instrução e exame dessas pessoas, mas não explica isso explicitamente.
<seg id="190">	Em segundo lugar, com a adoção desta diretiva, alcançamos a) um aumento da segurança quando mercadorias perigosas são transportadas e transbordadas; b) redução das distorções da concorrência resultantes de grandes variações nas estruturas e custos de formação nacionais e c) igualdade de oportunidades para conselheiros de segurança no mercado de trabalho europeu.
<seg id="191">	Em terceiro lugar, esta diretiva, tal como se encontra atualmente na posição comum, garante - em particular porque se limita exclusivamente a normas mínimas - um elevado grau de flexibilidade e modesta regulamentação por parte da União Europeia; ao adotá-la, contribuímos para que os Estados-Membros assumam um elevado nível de responsabilidade individual.
<seg id="192">	Tudo isto em conformidade com o princípio da subsidiariedade e, por isso, muito bem-vindo.
<seg id="193">	As nossas alterações da primeira leitura foram, creio, tidas em consideração de forma muito satisfatória.
<seg id="194">	Foram aceitas ou transpostas sem alteração do conteúdo ou foram rejeitadas porque as disposições europeias correspondentes não foram incluídas, por exemplo, um sistema de sanções por violações das regras ou uma estrutura de classificação complexa para grupos de questões relacionados .
<seg id="195">	A única alteração aprovada por unanimidade pela Comissão da Política Regional e dos Transportes, que diz respeito ao calendário de aplicação da diretiva, é algo que peço ao seu apoio.
<seg id="196">	Ao não fixar uma data específica para os Estados-Membros implementarem a diretiva e, em vez disso, conceder-lhes um período de três meses após a sua entrada em vigor, estamos introduzindo uma cláusula de flexibilidade que garante que a diretiva será implementada sem demora.
<seg id="197">	Eu peço a você que endosse isso.
<seg id="198">	Senhora Presidente, não podemos e não devemos aceitar o fato de que ouvirmos cada vez com mais frequência falar de acidentes que causam danos graves nas nossas estradas, mas também nas nossas ferrovias e hidrovias, não somente, mas pelo menos em parte porque os envolvidos não transportam produtos perigosos com cuidado ou porque - devido à ignorância ou à falta de treinamento por parte dos motoristas ou outros responsáveis ​​pelos vários veículos - um pequeno acidente muitas vezes se tornou um grande desastre.
<seg id="199">	Como austríaco, ainda tenho uma memória vívida, como, acredito, todos nós temos, da catástrofe que custou tantas vidas humanas no ano passado no Túnel Tauern, onde os trabalhos subsequentes para reconstruir as partes do túnel que foram destruídas neste incêndio continuou por muitos meses a um custo enorme.
<seg id="200">	O projeto de renovação, que durou meses, cortou esta importante rota entre o norte e o sul da Europa.
<seg id="201">	O tráfego que teve de ser desviado por causa disso levou ao limite a paciência de muitos milhares de pessoas na UE.
<seg id="202">	Na verdade, alguns municípios da minha província vriaram um inferno.
<seg id="203">	A prevenção tem de ser a nossa resposta a catástrofes deste tipo e este projeto de diretiva é um passo importante para a disponibilidade de conselheiros de segurança bem formados, para que sejam tomadas as medidas certas em tempo útil.
<seg id="204">	Ao mesmo tempo, não devemos nos contentar em adotar legislação europeia para garantir maior segurança.
<seg id="205">	Precisamos também acompanhar este processo e garantir que as nossas regras sejam transpostas pelos Estados-Membros em tempo útil e - ainda mais importante - temos de garantir que também são aplicadas posteriormente.
<seg id="206">	Por favor, que este não seja mais um setor onde, subsequentemente, devemos lamentar a falta de fiscalização.
<seg id="207">	Gostaria de abordar um último ponto.
<seg id="208">	Não devemos nos contentar em fechar mais um buraco na rede de segurança e fechar os olhos ao fato de, no que diz respeito à segurança dos transportes na Europa, ainda há muito mais o que fazer.
<seg id="209">	Neste contexto, gostaria de fazer um pedido e pedir ao Senhor Comissário responsável, que hoje está aqui connosco, que apresente o mais rapidamente possível um texto adequado, a fim de continuar a tornar mais seguro o tráfego para os túneis de trânsito no futuro, para que nós, na Europa, não tenhamos mais catástrofes deste tipo.
<seg id="210">	Senhora Presidente, antes de mais, gostaria de agradecer ao senhor deputado Koch o seu relatório, que tem como foco central, a questão da segurança dos transportes.
<seg id="211">	O relatório analisa a questão da harmonização dos requisitos de exame para conselheiros de segurança que trabalham nas áreas do transporte de mercadorias perigosas por estrada, ferrovia e hidrovia.
<seg id="212">	Eu o felicito pelo seu excelente relatório.
<seg id="213">	Infelizmente, a segurança dos transportes tem estado recentemente nas notícias: o acidente ferroviário de Paddington em Londres, o terrível acidente ferroviário na Noruega, os dois acidentes aéreos envolvendo cidadãos da UE e a catástrofe natural envolvendo o Erika ao largo da Bretanha - tudo nos últimos quatro meses - nos lembram que a segurança no transporte nunca pode ser considerada garantida e que os responsáveis ​​pela proteção do público devem ser altamente motivados e qualificados.
<seg id="214">	O relator indicou à Assembleia que, na sua posição comum, o Conselho aceitou seis das dez alterações do Parlamento apresentadas em primeira leitura e que o conteúdo das outras alterações do Parlamento foi mantido.
<seg id="215">	Portanto, o meu grupo apoiará a posição geral e aguarda com expectativa a aprovação da legislação que nos fornecerá mais um instrumento na nossa luta para tornar o transporte na União Europeia o mais seguro possível.
<seg id="216">	Quando se trata de segurança, meu Grupo sempre apoiará quaisquer iniciativas para melhorar a segurança no transporte.
<seg id="217">	Ainda temos muito trabalho a fazer nesta área, como os acontecimentos recentes demonstraram.
<seg id="218">	Senhora Presidente, gostaria de fazer alguns comentários.
<seg id="219">	Em primeiro lugar, gostaria de agradecer ao relator o seu trabalho excepcionalmente preciso e técnico com o relatório e, em segundo lugar, à Comissão pela proposta que apresentou.
<seg id="220">	Estamos preocupados aqui com a harmonização dos requisitos de exame, mas também, de fato, com os requisitos mínimos.
<seg id="221">	Isso é uma pena, em certo sentido.
<seg id="222">	Não é necessario dizer que a segurança rodoviária, ferroviária e fluvial assume uma importância fundamental e, dado o caráter internacional deste tipo de transporte, a formação dos conselheiros de segurança também deve ser harmonizada, assim como os requisitos do novo ADR, para exemplo, que está em andamento.
<seg id="223">	Isso é importante, mas a aplicação também é e, é claro, há uma série de razões pelas quais precisamos prestar uma atenção especial a isso.
